"Weekly Projects Report - All hours - London Burndown - All projects - Filtered by: Task type, Project stage, Project Geography Hierarchy - Reporting (07/28/2014 - 07/24/2016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project/Job code, Week starting 07/28/2014, Week starting 08/04/2014, Week starting 08/11/2014, Week starting 08/18/2014, Week starting 08/25/2014, Week starting 09/01/2014, Week starting 09/08/2014, Week starting 09/15/2014, Week starting 09/22/2014, Week starting 09/29/2014, Week starting 10/06/2014, Week starting 10/13/2014, Week starting 10/20/2014, Week starting 10/27/2014, Week starting 11/03/2014, Week starting 11/10/2014, Week starting 11/17/2014, Week starting 11/24/2014, Week starting 12/01/2014, Week starting 12/08/2014, Week starting 12/15/2014, Week starting 12/22/2014, Week starting 12/29/2014, Week starting 01/05/2015, Week starting 01/12/2015, Week starting 01/19/2015, Week starting 01/26/2015, Week starting 02/02/2015, Week starting 02/09/2015, Week starting 02/16/2015, Week starting 02/23/2015, Week starting 03/02/2015, Week starting 03/09/2015, Week starting 03/16/2015, Week starting 03/23/2015, Week starting 03/30/2015, Week starting 04/06/2015, Week starting 04/13/2015, Week starting 04/20/2015, Week starting 04/27/2015, Week starting 05/04/2015, Week starting 05/11/2015, Week starting 05/18/2015, Week starting 05/25/2015, Week starting 06/01/2015, Week starting 06/08/2015, Week starting 06/15/2015, Week starting 06/22/2015, Week starting 06/29/2015, Week starting 07/06/2015, Week starting 07/13/2015, Week starting 07/20/2015, Week starting 07/27/2015, Week starting 08/03/2015, Week starting 08/10/2015, Week starting 08/17/2015, Week starting 08/24/2015, Week starting 08/31/2015, Week starting 09/07/2015, Week starting 09/14/2015, Week starting 09/21/2015, Week starting 09/28/2015, Week starting 10/05/2015, Week starting 10/12/2015, Week starting 10/19/2015, Week starting 10/26/2015, Week starting 11/02/2015, Week starting 11/09/2015, Week starting 11/16/2015, Week starting 11/23/2015, Week starting 11/30/2015, Week starting 12/07/2015, Week starting 12/14/2015, Week starting 12/21/2015, Week starting 12/28/2015, Week starting 01/04/2016, Week starting 01/11/2016, Week starting 01/18/2016, Week starting 01/25/2016, Week starting 02/01/2016, Week starting 02/08/2016, Week starting 02/15/2016, Week starting 02/22/2016, Week starting 02/29/2016, Week starting 03/07/2016, Week starting 03/14/2016, Week starting 03/21/2016, Week starting 03/28/2016, Week starting 04/04/2016, Week starting 04/11/2016, Week starting 04/18/2016, Week starting 04/25/2016, Week starting 05/02/2016, Week starting 05/09/2016, Week starting 05/16/2016, Week starting 05/23/2016, Week starting 05/30/2016, Week starting 06/06/2016, Week starting 06/13/2016, Week starting 06/20/2016, Week starting 06/27/2016, Week starting 07/04/2016, Week starting 07/11/2016, Week starting 07/18/2016,Total
     Engagement Manager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.25,1.5,0,3,1.5,0.5,1,0,0,0,2.5,0,21.25
     Engineer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,57,69.5,39,63.5,63.5,73.75,63,74.5,77.5,71.75,6.25,669.25
     Designer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,14,40,40,41.25,32,41,41.25,40,33.5,32.5,37.5,0,433
     Product Manager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.75,18,36,27.5,33.5,26,40.5,35,31.75,37.5,38.5,0,25.5,381.5
3 - Smart Cash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,74.25,100.75,81.5,81.5,78.5,110.5,122,59.5,0,0,0,0,0,0,0,0,0,0,738.5
     Engagement Manager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2.5,1,0.5,0,1,4.5,0.5,0,0,0,0,0,0,0,0,0,0,10.5
     Engineer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,29.25,0,2,0,40,38,0,0,0,0,0,0,0,0,0,0,0,115.25
     Designer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,35.75,61,80.5,70,42,33.5,55.5,20,0,0,0,0,0,0,0,0,0,0,428.25
     Product Manager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8,0,9,36.5,36,24,39,0,0,0,0,0,0,0,0,0,0,184.5
5 - Project Portland (Onboarding),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,51.75,56,38.5,50.5,0,266.75
     Engagement Manager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1.5,0,2,0,14.5
     Engineer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,16.25,30.5,25.5,37,0,138.25
     Product Manager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,33.5,24,13,11.5,0,114
